ime,kraj,doplacilo,vegetarijansko,dostava,dostop_za_invalide,odprto_ob_vikendih,nov_lokal
OKREPČEVALNICA KEMIJSKI INŠTITUT,LJUBLJANA,2.97,service-1,,,,
OKREPČEVALNICA LAGUNA,MURSKA SOBOTA,1.8,,,,,
OKREPČEVALNICA LAGUNA - DOSTAVA,MURSKA SOBOTA,1.8,,service-5,,service-20,
OKREPČEVALNICA MAJ,HOČE,2.0,service-1,,,,
OKREPČEVALNICA MINUTKA,SLOVENJ GRADEC,2.17,,,service-3,,
OKREPČEVALNICA MM PANDA,MARIBOR,2.0,,,service-3,,
OKREPČEVALNICA NOVAK,NOVO MESTO,3.37,,,service-3,,
OKREPČEVALNICA PEKARNA DOBROT,LJUBLJANA,1.0,service-1,,service-3,,
OKREPČEVALNICA PIVNICA ALF,MARIBOR,2.8,service-1,,,,
OKREPČEVALNICA PIVNICA ALF - DOSTAVA,MARIBOR,3.3,service-1,service-5,,,
OKREPČEVALNICA PODHOD,LJUBLJANA,1.2,,,service-3,service-20,
OKREPČEVALNICA PUB LEGENDE,LJUBLJANA,3.17,service-1,,service-3,service-20,
OKREPČEVALNICA RIBCA,LJUBLJANA,3.77,service-1,,service-3,,
OKREPČEVALNICA SARAJEVO,MARIBOR,2.77,service-1,,service-3,service-20,
OKREPČEVALNICA STARI GRIL,MARIBOR,2.8,service-1,,service-3,,
OKREPČEVALNICA ŠIŠ,MARIBOR,2.99,service-1,,service-3,service-20,
OKREPČEVALNICA ŠUMI,LJUBLJANA,0.0,,,service-3,,
OKREPČEVALNICA VIDA,RAVNE NA KOROŠKEM,3.37,service-1,,,,
OKREPČEVALNICA VILLA MONDE,PTUJ,2.67,,,service-3,service-20,
OKREPČEVANICA FRESH (PRODAJNO MESTO PETROL),SEŽANA,3.77,service-1,,service-3,,
OŠTARIJA PIZZERIA DA NOI,MARIBOR,2.99,,,,,
OŠTARIJA PIZZERIA DA NOI - DOSTAVA,MARIBOR,4.37,,service-5,,service-20,
OŠTARIJA PRI OLJKI,LJUBLJANA,3.27,service-1,,,,
P.E. FAKULTETA ZA GRADBENIŠTVO IN GEODEZIJO,LJUBLJANA,2.4,service-1,,service-3,,
PAPAGAYO,MARIBOR,3.0,service-1,,service-3,,
PE DIJAŠKI DOM CELJE,CELJE,2.5,,,,,
PE KAVA BAR IN OKREPČEVALNICA FANTOM,SLOVENJ GRADEC,3.17,,,,service-20,
PE MARJETICA,LJUBLJANA,2.07,service-1,,,,
PE OŠTARIJA CITY CENTER,CELJE,2.97,,,,,
PEK MATJAŽ TOMŠIČEVA,VELENJE,0.0,,,,,
PERLA,LJUBLJANA,3.37,service-1,,,,
PETROL OKREPČEVALNICA FRESH,LJUBLJANA,3.77,service-1,,,,
PETROL OKREPČEVALNICA FRESH,LJUBLJANA,3.77,service-1,,,,
PETROL OKREPČEVANICA FRESH,KOPER/CAPODISTRIA,3.77,service-1,,,,
PIAZZA DEL PAPA,LJUBLJANA,3.37,service-1,,,,
PICERIJA ALAN FORD,KOPER/CAPODISTRIA,3.07,service-1,,service-3,,
PICERIJA BARJAN,LJUBLJANA,3.5,service-1,,,,
PICERIJA BONITAS,ŽALEC,3.27,service-1,,,,
PICERIJA BONITAS - DOSTAVA,ŽALEC,4.27,,service-5,,service-20,
PICERIJA ERA,NOVO MESTO,3.17,service-1,,service-3,service-20,
PICERIJA IN RESTAVRACIJA TONAČ,KRANJ,4.0,service-1,,service-3,service-20,
PICERIJA NA PLACU,VIPAVA,4.37,service-1,,service-3,,
PICERIJA SILVESTER,KRANJ,2.37,service-1,,service-3,service-20,
PICERIJA ŠTANGELJ,NOVO MESTO,2.57,service-1,,,service-20,
PICERIJA TONAČ - DOSTAVA,KRANJ,4.0,service-1,service-5,,service-20,
PICERIJA VERONA,CELJE,2.86,service-1,,service-3,,
PICERIJA VERONA - DOSTAVA,CELJE,3.86,service-1,service-5,,,
PICESTAVRACIJA BOCCACCIO,LJUBLJANA,4.17,,,service-3,service-20,
PIVNICA ADAM RAVBAR,DOMŽALE,3.77,service-1,,service-3,,
PIVNICA EMONEC,KOPER/CAPODISTRIA,3.87,service-1,,,,
PIVOVARNA IN PIVNICA KRATOCHWILL,LJUBLJANA,4.0,service-1,,service-3,service-20,
PIZZERIA BRIKSEN,BLED,4.37,service-1,,,,
PIZZERIA CHIANTI,NOVO MESTO,3.37,,,service-3,service-20,
PIZZERIA DA NOI FAST FOOD,MARIBOR,0.6,,,,,
PIZZERIA DI ANTONIO,SLOVENJ GRADEC,2.07,,,,,
PIZZERIA DI ANTONIO - DOSTAVA,SLOVENJ GRADEC,2.67,,service-5,,,
PIZZERIA FOCULUS,LJUBLJANA,4.0,,,service-3,,
PIZZERIA FONTANA,KRŠKO,3.87,service-1,,service-3,,
PIZZERIA GALLUS,BLED,3.7,service-1,,service-3,service-20,
PIZZERIA GREGORINO,LJUBLJANA,3.8,service-1,,,,
PIZZERIA HITRI GONZALES,MARIBOR,3.9,service-1,,service-3,service-20,
PIZZERIA HITRI GONZALES - DOSTAVA,MARIBOR,4.37,service-1,service-5,,service-20,
PIZZERIA IN ŠPAGETARIJA OLIVA,LJUBLJANA,4.37,service-1,,service-3,service-20,
PIZZERIA IN ŠPAGETERIA AL CAPONE,MARIBOR,3.19,,,,,
PIZZERIA IN ŠPAGETERIJA AL CAPONE,LJUBLJANA,3.17,service-1,,,,
PIZZERIA IN ŠPAGETTERIA CUBUS,NOVO MESTO,2.9,service-1,,service-3,service-20,
PIZZERIA KUKUCA,TRBOVLJE,0.87,,,service-3,service-20,
PIZZERIA LATERNA,LJUBLJANA,3.4,service-1,,service-3,service-20,
PIZZERIA MIA FORTUNA,NOVO MESTO,3.07,service-1,,,,
PIZZERIA OLIVA,CELJE,2.9,service-1,,service-3,service-20,
PIZZERIA OLIVA - DOSTAVA,CELJE,3.9,service-1,service-5,,service-20,
PIZZERIA OSMICA,LJUBLJANA,2.9,service-1,,,service-20,
PIZZERIA PARMA,LJUBLJANA,3.3,,,,,
PIZZERIA PRONTO,MARIBOR,2.2,service-1,,service-3,service-20,
PIZZERIA PRONTO - DOSTAVA,MARIBOR,2.5,service-1,service-5,,service-20,
PIZZERIA ŠESTINKA,LJUBLJANA,0.0,,,,service-20,
PIZZERIA TOTALKA,NOVO MESTO,3.0,,,service-3,service-20,
PIZZERIA TOTTAPIZZA,MARIBOR,3.0,,,,,
PIZZERIA TUNNEL,LJUBLJANA,3.9,service-1,,service-3,,
PIZZERIA VILA RAINERI,IZOLA/ISOLA,3.17,service-1,,service-3,,
PIZZERIJA AŠIČ,ZAGORJE OB SAVI,3.37,service-1,,service-3,,
PIZZERIJA AŠIČ - DOSTAVA,ZAGORJE OB SAVI,3.87,service-1,service-5,,,
PIZZERIJA ATRIJ,KOPER/CAPODISTRIA,3.17,service-1,,service-3,,
PIZZERIJA DIMNIK,TRBOVLJE,3.37,service-1,,service-3,service-20,
PIZZERIJA DIMNIK - DOSTAVA,TRBOVLJE,3.87,service-1,service-5,,service-20,
PIZZERIJA ETNA - ITALIJANSKA KUHINJA,LJUBLJANA,4.37,service-1,,service-3,,
PIZZERIJA GORENC,KRANJ,2.77,,,service-3,,
PIZZERIJA IN OKREPČEVALNICA KONDOR,LJUBLJANA,3.37,service-1,,,,
PIZZERIJA PIRAMIDA,LJUBLJANA,2.87,service-1,,service-3,,
PIZZERIJA VELUN,VELENJE,3.9,,,service-3,,
PIZZERIJA VERDI,MARIBOR,1.37,,,service-3,service-20,
