ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
GOSTILNA JELEN,"Celovška cesta 462, 1000 Ljubljana",LJUBLJANA,0,3.5,DA,DA,NE,DA,NE
GOSTILNA KERŠIČ,"Frankopanska ulica 1, 1000 Ljubljana",LJUBLJANA,4,3.0,DA,NE,NE,DA,NE
GOSTILNA LEČNIK,"Trg Svobode 4, 2390 Ravne na Koroškem",RAVNE NA KOROŠKEM,5,3.07,DA,DA,NE,DA,NE
GOSTILNA LUŽNIK,"Ormoška cesta 18, 2250 Ptuj",PTUJ,3,2.3,DA,DA,NE,DA,NE
GOSTILNA POD LIPO,"Borštnikov trg 3, 1000 Ljubljana",LJUBLJANA,3,3.7,DA,DA,NE,DA,NE
GOSTILNA POD ŠKALCAMI,"Oplotniška cesta 5, 3210 Slovenske Konjice",SLOVENSKE KONJICE,5,1.0,NE,DA,NE,NE,NE
GOSTILNA POD ŠKALCAMI - DOSTAVA,"Oplotniška cesta 5, 3210 Slovenske Konjice",SLOVENSKE KONJICE,5,1.0,NE,NE,DA,NE,NE
GOSTILNA PRI POŠTI,"Ulica Heroja Lacka 6, 2250 Ptuj",PTUJ,0,3.17,DA,DA,NE,NE,DA
GOSTILNA PRI VIKTORJU,"Partizanska cesta 17, 4000 Kranj",KRANJ,4,2.87,DA,NE,NE,DA,NE
GOSTILNA RACMAN,"Brezina 19/b, 8250 Brežice",BREŽICE,0,2.97,DA,DA,NE,NE,NE
GOSTILNA STARI TIŠLER,"Kolodvorska ulica 8, 1000 Ljubljana",LJUBLJANA,4,3.87,DA,DA,NE,NE,NE
GOSTILNA ŠELIGO,"Goliev trg 8, 8210 Trebnje",TREBNJE,5,3.5,DA,DA,NE,DA,NE
GOSTILNA ŠTORKLJA,"Šlajmerjeva 1a, 1000 Ljubljana",LJUBLJANA,4,4.07,DA,NE,NE,DA,NE
GOSTILNA ZLATI LEV,"Vodnikov trg 4, 2000 Maribor",MARIBOR,4,2.17,DA,DA,NE,DA,NE
